file,func,line,C1,C2,C3,C4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,complexity_score,vulnerability_score
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/compiler_hints.h,may_be_zero,192,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/usr/include/x86_64-linux-gnu/bits/byteswap.h,__bswap_16,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/usr/include/x86_64-linux-gnu/bits/byteswap.h,__bswap_32,49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/usr/include/x86_64-linux-gnu/bits/byteswap.h,__bswap_64,70,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/usr/include/x86_64-linux-gnu/bits/uintn-identity.h,__uint16_identity,33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/usr/include/x86_64-linux-gnu/bits/uintn-identity.h,__uint32_identity,39,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/usr/include/x86_64-linux-gnu/bits/uintn-identity.h,__uint64_identity,45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/include/native_sched.h,sched_yield,48,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/list.h,list_add,53,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/list.h,list_remove_head,67,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,4
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/list.h,list_remove,86,2,1,0,1,2,0,0,0,0,0,1,0,1,0,1,4,5
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/clist.h,clist_is_empty,118,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/clist.h,clist_rpush,132,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,5
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/clist.h,clist_lpush,153,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,5
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/clist.h,clist_lpop,173,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,4
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/clist.h,clist_lpoprpush,203,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,4
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/clist.h,clist_lpeek,218,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,4
/home/arpan/Documents/CBMC/analyzer/RIOT_buggy/core/lib/include/clist.h,clist_rpeek,234,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
