bin_id,bin_range,rank_in_bin,file,func,line,complexity_score,vulnerability_score
0,1-1,1,/home/arpan/Documents/CBMC/libxslt/libxslt/xslt.c,xsltFreeStylesheet,931,1,37
0,1-1,2,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltRunStylesheetUser,6430,1,21
0,1-1,3,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateTruncateDate,1386,1,16
0,1-1,4,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateAddDuration,1753,1,16
0,1-1,5,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateSumFunction,2799,1,15
0,1-1,6,/home/arpan/Documents/CBMC/libxslt/libxslt/preproc.c,xsltFreeStylePreComp,381,1,15
0,1-1,7,/home/arpan/Documents/CBMC/libxslt/libxslt/xslt.c,xsltFreeTemplate,410,1,15
0,1-1,8,/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathConstantFunction,440,1,14
0,1-1,9,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltRegisterExtModuleElement,1621,1,14
0,1-1,10,/home/arpan/Documents/CBMC/libxslt/libxslt/keys.c,xsltFreeKeyDef,81,1,14
0,1-1,11,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateAddFunction,3569,1,12
0,1-1,12,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateAddDurationFunction,3606,1,12
0,1-1,13,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDifferenceFunction,3643,1,12
0,1-1,14,/home/arpan/Documents/CBMC/libxslt/libexslt/dynamic.c,exsltDynMapFunction,97,1,12
0,1-1,15,/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathMinFunction,68,1,12
0,1-1,16,/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsHasSameNodesFunction,142,1,12
0,1-1,17,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltRegisterExtFunction,587,1,12
0,1-1,18,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltRegisterExtElement,621,1,12
0,1-1,19,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltCleanupGlobals,2274,1,12
0,1-1,20,/home/arpan/Documents/CBMC/libxslt/libxslt/pattern.c,xsltFreeTemplateHashes,2535,1,12
0,1-1,21,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltApplyStylesheetUser,6392,1,12
0,1-1,22,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateCreateDate,658,1,11
0,1-1,23,/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncRegisterFunc,74,1,11
0,1-1,24,/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathMaxFunction,137,1,11
0,1-1,25,/home/arpan/Documents/CBMC/libxslt/libxslt/preproc.c,xsltCallTemplateComp,1552,1,11
0,1-1,26,/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsDifferenceFunction,28,1,10
0,1-1,27,/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsIntersectionFunction,65,1,10
0,1-1,28,/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsLeadingFunction,180,1,10
0,1-1,29,/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsTrailingFunction,227,1,10
0,1-1,30,/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrConcatFunction,471,1,10
0,1-1,31,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltRegisterExtModuleFunction,1387,1,10
0,1-1,32,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltRegisterExtModuleTopLevel,1823,1,10
0,1-1,33,/home/arpan/Documents/CBMC/libxslt/libxslt/keys.c,xsltNewKeyTable,129,1,10
0,1-1,34,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltVariableLookup,1885,1,10
0,1-1,35,/home/arpan/Documents/CBMC/libxslt/libexslt/dynamic.c,exsltDynEvaluateFunction,54,1,9
0,1-1,36,/home/arpan/Documents/CBMC/libxslt/libexslt/exslt.c,exsltRegisterAll,26,1,9
0,1-1,37,/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathHighestFunction,218,1,9
0,1-1,38,/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathLowestFunction,298,1,9
0,1-1,39,/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonEvalFunction,133,1,9
0,1-1,40,/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsDistinctFunction,101,1,9
0,1-1,41,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltNewExtDef,107,1,9
0,1-1,42,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltShutdownCtxtExt,1055,1,9
