file,func,line,C1,C2,C3,C4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,complexity_score,vulnerability_score
/home/arpan/Documents/CBMC/libxslt/doc/tutorial2/libxslt_pipes.c,usage,32,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3
/home/arpan/Documents/CBMC/libxslt/doc/tutorial2/libxslt_pipes.c,main,39,10,3,0,1,2,24,0,0,0,0,1,0,2,0,4,14,33
/home/arpan/Documents/CBMC/libxslt/examples/xsltICUSort.c,xsltICUSortFunction,40,36,3,0,1,3,19,0,0,0,0,1,0,3,6,5,40,37
/home/arpan/Documents/CBMC/libxslt/libexslt/common.c,exsltNodeSetFunction,25,3,0,0,0,2,4,0,0,0,0,1,0,1,0,2,3,10
/home/arpan/Documents/CBMC/libxslt/libexslt/common.c,exsltObjectTypeFunction,78,2,0,0,0,2,3,0,0,0,0,1,0,1,0,1,2,8
/home/arpan/Documents/CBMC/libxslt/libexslt/common.c,exsltCommonRegister,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateParseGYear,204,8,1,0,1,2,0,0,0,0,0,1,0,1,4,2,10,10
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateParseGMonth,381,70,0,0,0,2,0,0,0,0,0,1,0,1,1,1,70,6
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateParseGDay,423,69,0,0,0,2,0,0,0,0,0,1,0,1,1,1,69,6
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateParseTime,483,292,0,0,0,2,0,0,0,0,0,1,0,4,6,2,292,15
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateParseTimeZone,555,168,0,0,0,2,0,0,0,0,0,1,0,0,1,0,168,4
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateCreateDate,658,1,0,0,0,1,5,0,0,0,0,1,0,1,1,2,1,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateFreeDate,683,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1,5
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateParse,828,1599,0,0,0,1,4,0,0,0,0,1,0,5,8,4,1599,23
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateParseDuration,978,181,1,0,1,1,4,0,0,0,0,1,0,1,0,1,183,8
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateFormatDuration,1104,204,0,0,0,1,2,0,0,0,0,1,0,6,0,4,204,14
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateFormatDateTime,1183,63,0,0,0,1,0,0,0,0,0,1,0,2,0,1,63,5
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateFormatDate,1209,70,0,0,0,1,0,0,0,0,0,1,0,2,0,1,70,5
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateFormatTime,1234,46,0,0,0,1,0,0,0,0,0,1,0,1,0,1,46,4
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateFormat,1261,87,0,0,0,1,1,0,0,0,0,1,0,2,0,2,87,7
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateCastYMToDays,1312,245,0,0,0,1,0,0,0,0,0,1,0,1,1,1,245,5
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateCastDateToNumber,1351,246,0,0,0,1,2,0,0,0,0,1,0,2,1,3,246,10
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateTruncateDate,1386,1,0,0,0,2,0,0,0,0,0,1,0,4,4,5,1,16
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateDayInWeek,1425,2,0,0,0,2,0,0,0,0,0,1,0,1,0,1,2,5
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateAdd,1458,553,1,0,1,2,6,0,0,0,0,1,0,3,2,6,555,20
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateNormalize,1598,2,0,0,0,1,8,0,0,0,0,1,0,1,4,2,2,17
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateDifference,1637,368,0,0,0,3,7,0,0,0,0,1,0,2,0,5,368,18
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateAddDurCalc,1702,116,0,0,0,3,2,0,0,0,0,1,0,2,0,1,116,9
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,_exsltDateAddDuration,1753,1,0,0,0,2,7,0,0,0,0,1,0,1,1,4,1,16
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDateTime,1786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
