file,func,line,C1,C2,C3,C4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,complexity_score,vulnerability_score
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/asfdec_f.c,asf_parse_packet,1205,65,4,3,2,3,11,278,6,144,71,6,37,20,30,16,74,622
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/avidec.c,avi_read_header,470,198,5,2,2,1,20,352,8,169,227,6,70,23,66,39,207,981
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/flvdec.c,flv_read_packet,882,154,1,0,1,2,27,193,8,77,96,7,12,15,43,51,156,531
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/iff.c,iff_read_header,410,158,3,1,2,1,25,220,5,160,140,7,44,20,42,29,164,693
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/matroskadec.c,matroska_parse_tracks,1893,176,4,3,3,1,31,482,17,282,490,16,102,51,67,56,186,1595
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/movenc.c,ff_mov_write_packet,4595,98,1,0,1,2,11,315,7,214,63,5,8,27,34,25,100,711
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/mpegts.c,mpegts_push_data,994,321,3,2,3,5,7,206,9,163,201,11,45,25,38,26,329,736
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/mpegtsenc.c,mpegts_write_pmt,258,115,5,4,2,2,14,350,14,163,133,8,41,23,20,30,126,798
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/musx.c,musx_read_header,34,39,1,0,1,1,6,120,2,98,28,5,10,4,7,4,41,285
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/smacker.c,smacker_read_header,107,27,5,0,1,1,7,130,4,93,16,5,7,13,12,11,33,299
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/udp.c,udp_open,679,81,4,0,1,3,19,105,12,67,63,4,22,23,59,33,86,410
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/utils.c,avformat_find_stream_info,3277,194,14,4,2,2,28,572,11,374,181,5,42,46,89,44,214,1394
/home/arpan/Documents/CBMC/ffmpeg-3.1.3/libavformat/yuv4mpegdec.c,yuv4_read_header,32,87,6,4,2,1,13,63,10,20,639,27,54,55,12,17,99,911
